,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33
sub_topic_33,0.0013129702,0.0005393317,0.0011888185,0.00051053014,0.00044848354,0.0005120044,0.0003337624,0.2523171,0.0022800525,0.00035785747,0.0023782344,0.00044811226,0.00014055669,0.0011996295,0.0001531898,0.00024416522,0.00050829485,1.0361838e-05,0.00032908528,0.00039663765,1.419866e-05,0.00038342568,0.0002314222,0.00043265865,0.0053216764,0.0019834817,0.00043666383,0.0016728736,0.0012180482,0.0006142014,0.0022713738,0.0039390596,0.0009670321,0.0004626856
sub_topic_34,5.3341435e-05,5.4209693e-05,0.00013410347,0.00028846826,3.6931702e-05,0.72655964,3.7924508e-06,3.3323868e-06,2.8628522e-08,7.689637e-05,0.0002854352,2.615593e-05,2.6134947e-05,5.223519e-05,6.1933815e-06,1.5584657e-05,1.1766628e-05,1.2205195e-05,5.1115618e-05,2.57951e-05,0.00015396028,0.00017148287,3.527817e-05,5.131312e-05,0.0,5.5527735e-06,0.0002270507,3.1178658e-06,0.00028687622,5.8861846e-05,9.138148e-06,1.3579687e-05,1.0097105e-05,0.00029285837
sub_topic_35,0.00035365365,0.00013769043,0.002120276,0.00039380023,6.445453e-05,0.0008059723,1.1493191e-05,1.7378577e-05,2.7397962e-05,3.7692196e-05,0.0024114433,0.46269637,4.228787e-05,0.00011533641,0.0003732528,0.003699347,3.5664832e-06,5.24177e-06,0.0006376885,2.4043393e-05,4.0464394e-07,0.0007170993,0.000178006,1.8892162e-06,2.9658624e-05,1.7516004e-05,0.0010046997,2.106673e-05,7.965895e-05,0.0001758038,0.002232361,0.00026808176,0.00015423882,0.0033587606
sub_topic_36,5.5772038e-05,7.3182266e-05,0.0023974527,2.3406936e-05,4.476134e-05,2.5249217e-05,1.5325684e-05,2.3756176e-05,4.8293005e-05,2.4424013e-05,0.0002493659,0.00046475104,2.9135306e-05,4.5623467e-05,0.00050087407,0.00029918706,0.00014533875,1.08870245e-05,4.517743e-06,1.57161e-05,1.4543275e-06,0.00014881384,0.0018855296,1.1527641e-05,0.0029653653,5.112846e-05,5.2206724e-05,4.66061e-05,2.5014604e-05,5.0755465e-05,0.96152586,0.0019142218,9.192205e-05,0.00053874555
sub_topic_37,0.0015769353,0.0010290269,0.0015141445,0.00038995518,0.2482536,0.00088773586,0.0015567569,1.27887715e-05,0.0016373339,0.00020077046,0.0094042625,0.0015795601,0.0008660541,0.001737766,0.00012822819,0.0015356652,0.0006722027,7.7146025e-05,0.002086578,0.00034550746,0.0012499942,0.0014717064,0.00027376934,0.00060613,5.445052e-05,0.0052333474,0.0019636666,0.0017196173,0.0018660192,0.0012902335,0.00018939655,8.3007064e-05,0.0005975472,0.0013314326
sub_topic_38,0.00018034245,0.0017818777,0.00036298492,7.231693e-05,2.9976056e-05,5.8894155e-05,0.00015438825,1.7696006e-05,6.592211e-06,0.0011204903,0.0004054345,8.956104e-05,0.0002249238,0.00041270003,0.9681534,0.002199692,0.00024585286,0.0009291043,4.957168e-05,1.5046576e-05,0.00013493093,0.0061333044,0.0028491332,7.342374e-05,0.001199249,7.174277e-05,0.0013161156,0.00014044138,0.0005165504,0.000112918926,0.0011661106,0.002197202,0.0001189879,0.00010284997
sub_topic_39,0.00038377152,0.0052813482,0.0005492072,0.0009808142,7.832738e-05,0.0003163814,0.0019240947,5.8374007e-06,3.996025e-06,0.0029705544,1.3392848e-05,3.4718762e-06,0.0012683044,0.0007822367,0.004203473,0.0,0.010086811,0.3359816,0.00017426936,0.00043657518,0.1084799,0.0014269049,0.0022651367,0.00017263698,7.177078e-05,0.000117705604,0.0004599336,0.00042226832,0.0002611784,0.0006777177,2.4909012e-05,3.945245e-05,9.463286e-05,0.00016734588
sub_topic_40,0.00014038816,4.299816e-05,0.00033788438,2.699639e-05,1.0499062e-05,5.6536002e-05,1.0641323e-05,1.0892134e-06,8.883057e-06,1.642715e-05,9.8096854e-05,6.1677136e-05,3.020471e-05,2.4799912e-05,2.7527461e-05,1.2479493e-05,4.5373057e-05,1.7012599e-05,0.000110766,3.9290844e-06,2.102221e-05,9.617024e-05,0.0014627707,6.896359e-06,2.526619e-06,3.7629532e-06,0.00068693387,6.422785e-06,2.245122e-05,1.2243659e-05,0.00043144228,3.600215e-05,1.1433528e-05,0.5498684
sub_topic_41,2.9436946e-05,3.563119e-05,0.003059784,1.7175917e-05,2.6066991e-06,3.8517733e-06,1.5338836e-05,4.6734166e-07,1.1666014e-06,3.455675e-05,5.331878e-06,0.0,0.000106494816,2.1306181e-05,2.9335333e-05,0.0,0.9594509,8.310689e-05,9.071709e-06,8.997498e-06,6.735756e-05,3.049585e-05,5.3873886e-05,6.2370577e-06,1.2027082e-05,8.960426e-06,1.957006e-05,5.8516825e-06,2.9284336e-05,1.4904087e-05,2.3472496e-05,4.7552444e-06,5.370936e-05,1.6571088e-05
sub_topic_42,0.00029979867,7.0270835e-05,3.337401e-05,7.1569966e-06,1.6940935e-06,6.1943274e-06,1.11791205e-05,5.113603e-07,9.983869e-07,5.5509077e-05,0.0001410765,2.7895645e-05,3.847195e-06,4.7113917e-05,0.00030255585,8.321162e-06,1.5418686e-05,6.387838e-05,1.478747e-05,7.685158e-07,6.1739015e-06,0.00022422941,0.96856916,1.156914e-06,0.00026303143,0.0,8.565289e-05,2.4532164e-06,2.0945065e-05,6.479903e-06,0.000615311,0.00011786319,4.824612e-06,0.0015673394
